SINister Evolution	sin
IMPACT	淫趴
宿星審判	宿星审判
業 -善なる神とこの世の悪について-	业 -善なる神とこの世の恶について-
ピアノ協奏曲第１番”蠍火”	ピアノ协奏曲第１番”蝎火”
Valsqotch	金熊
folern	佛冷
SON OF SUN	日儿子	孙子
Crimson Phoenix	凤凰
脳天直撃	脑天直击
XL TECHNO -More Dance Remix-	特大
Caliburne ～Story of the Legendary sword～	圣剑
Alea jacta est!	黑人击剑	黑人打架
the EmpErroR	皇帝
Ascension to Heaven	飞升天堂
Killing Rhythm	杀戮节奏
ENDYMION	恩底弥翁	女武神
アンヘル	天使
携帯恋話	携带恋话
G e n g a o z o	Gengaozo
010	林忆宁	七海Nana7mi
夜に駆ける	夜に驱ける	夜驱
うまぴょい伝説	うまぴょい传说	马儿蹦跳传说
だんだん早くなる	蛋蛋
CYCLES	马瓦鲁	马挖路
心予報	心豫报	心情预报
初音天地開闢神話	初音天地开辟神话
ドラマツルギー	拟剧论
こちら、幸福安心委員会です。	こちら、幸福安心委员会です。	这里是、幸福安心委员会
ヒバナ	火花
妖々跋扈　～ Who done it！！！	妖妖跋扈
神々が恋した幻想郷	神々が恋した幻想乡	众神眷恋的幻想乡
回レ！雪月花	旋转吧！雪月花
ようこそジャパリパークへ	欢迎来到加帕里公园
気ままな天使たち	气ままな天使たち	自由自在的天使们
徒花ネクロマンシー	徒花招魂术
紅蓮華	红莲华
インドア系ならトラックメイカー	室内系的TrackMaker
だから僕は音楽を辞めた	だから仆は音乐を辞めた	所以我放弃了音乐
キラメキライダー☆	闪耀骑士☆
甲賀忍法帖	甲贺忍法帖
歩いていこう！	步いていこう！	启程前进吧!
町かどタンジェント	街角切线
廻廻奇譚	廻廻奇谭	回回奇谭
うっせぇわ	吵死了
エクストラ・マジック・アワー	EXTRA MAGIC HOUR
残酷な天使のテーゼ	残酷天使的行动纲领
インフェルノ	Inferno
Cyaegha	绿魔王
Grievous Lady	病女	gl
Fracture Ray	fr	碎光	骨折光
Angel dust	天使尘
Love & Justice	爱正义	爽哥跳舞
アスノヨゾラ哨戒班	明日的夜空哨戒班
アンノウン・マザーグース	不为人知的鹅妈妈童谣
ツクヨミステップ	月读舞步
Here We Go	黑喂狗
]-[|/34<#!	hibachi	乱码	蜂
Hainuwele	华为	华为完了
My First Phone	小灵通	小电话
Titania	江江比耶
Knight Rider	骑骑士士
TiamaT:F minor	提亚玛特
覚醒楽奏メタフィクション	觉醒乐奏メタフィクション
